               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,            0.021749,           0.0086202,           0.0060753,             0.98057,             0.97173,             0.98948,             0.72827,            0.014804,           0.0060628,           0.0015353,            0.009432,            0.009432,            0.009432
                  99,            0.021872,           0.0088546,           0.0050443,              0.9561,              0.9821,             0.98882,              0.7255,            0.014901,           0.0059534,           0.0017224,           0.0094205,           0.0094205,           0.0094205
                 100,            0.021578,           0.0084709,           0.0051667,             0.96106,             0.97674,             0.98707,             0.72238,            0.014443,           0.0059759,            0.001636,           0.0094088,           0.0094088,           0.0094088
                 101,            0.021722,           0.0087101,           0.0052689,             0.98829,             0.94942,             0.98828,             0.71028,             0.01481,           0.0059711,           0.0016891,           0.0093971,           0.0093971,           0.0093971
                 102,            0.021453,            0.008713,           0.0049967,             0.97552,             0.95482,             0.98618,             0.72505,            0.014439,           0.0059427,           0.0017792,           0.0093853,           0.0093853,           0.0093853
                 103,            0.021707,           0.0086618,           0.0050786,             0.97352,             0.97994,             0.98861,             0.73839,             0.01425,           0.0059056,           0.0015671,           0.0093733,           0.0093733,           0.0093733
                 104,            0.021614,             0.00845,            0.005505,             0.97119,             0.97517,             0.98826,             0.73088,            0.014052,            0.005895,           0.0016688,           0.0093613,           0.0093613,           0.0093613
                 105,            0.021177,           0.0085133,           0.0050685,             0.95356,             0.97759,             0.98733,             0.72195,            0.013994,           0.0059515,           0.0017462,           0.0093491,           0.0093491,           0.0093491
                 106,            0.021401,           0.0083942,           0.0054408,             0.98304,             0.95814,             0.98623,             0.73835,            0.014391,           0.0058501,           0.0019472,           0.0093369,           0.0093369,           0.0093369
                 107,            0.021431,           0.0087815,           0.0052141,             0.95682,             0.97429,             0.98532,             0.72161,            0.014291,           0.0059379,           0.0019716,           0.0093245,           0.0093245,           0.0093245
                 108,            0.021137,            0.008429,           0.0047804,             0.98543,             0.94286,             0.98782,              0.7293,            0.014437,           0.0059871,           0.0016673,            0.009312,            0.009312,            0.009312
